 Agencia Nacional de Investigación e Innovación|Agencia Nacional de Investigación e Innovación|3||||||||
 ANII, validación técnica y de idea de negocios|Agencia Nacional de Investigación e Innovación|3||||||||
 Fundación IRAUy - Institut Pasteur de Montevideo|Fundación IRAUy|9|Institut Pasteur de Montevideo|1||||||
 K&M, Río Grande do Sul- Brasil|K&M|12||||||||
 Lab. Celsius mediante un proyecto PDT|Laboratorio Celsius|5||||||||
 PNUD-FOMIN - Programa de Modernización de las RRLL en el Uruguay|Programa de las Naciones Unidas para el Desarrollo|10|Fondo Multilateral de Inversiones|10|Programa de Modernización de las RRLL en el Uruguay|1||||
 Programa de Desarrollo de las Ciencias Básicas /  Direccion Nacional de Recursos Acuaticos /Apoyo financiero|Programa de Desarrollo de las Ciencias Básicas|1|Direccion Nacional de Recursos Acuaticos |3||||||
Agencia Nacional de Investigación e Innovación|Agencia Nacional de Investigación e Innovación|3||||||||
ANII, validación técnica y de idea de negocios|Agencia Nacional de Investigación e Innovación|3||||||||
Fundación IRAUy - Institut Pasteur de Montevideo|Fundación IRAUy|9|Institut Pasteur de Montevideo|1||||||
K&M, Río Grande do Sul- Brasil|K&M|12||||||||
Lab. Celsius mediante un proyecto PDT|Laboratorio Celsius|5||||||||
PNUD-FOMIN - Programa de Modernización de las RRLL en el Uruguay|Programa de las Naciones Unidas para el Desarrollo|10|Fondo Multilateral de Inversiones|10|Programa de Modernización de las RRLL en el Uruguay|1||||
Programa de Desarrollo de las Ciencias Básicas /  Direccion Nacional de Recursos Acuaticos /Apoyo financiero|Programa de Desarrollo de las Ciencias Básicas|1|Direccion Nacional de Recursos Acuaticos |3||||||
3DMusic - LATU|3DMusic|12|Laboratorio Tecnológico del Uruguay |1||||||
A.N.I.I.|Agencia Nacional de Investigación e Innovación|3||||||||
abb|ABB|8||||||||
ABENGOA Energy Crops|ABENGOA Energy Crops|8||||||||
Abstracta|ABSTRACTA SRL|5||||||||
Abstracta, Artech|ABSTRACTA SRL|5|Artech Consultores SRL|5||||||
ACAC|ACAC|5||||||||
Academia de Francia en España - Casa de Velázquez|Academia de Francia en España - Casa de Velázquez|2||||||||
ACAS / Igalia|ACAS|8|Igalia|8||||||
Accelerated Genetics (USA)/University College Dublin (UCD)|Accelerated Genetics|8|University College Dublin|2||||||
Acequia Innova SLL|ACEQUIA INNOVA |8||||||||
ADAI - Cooperación Iberoamericana|Programa ADAI|2||||||||
ADAI/Fondo Clemente Estable/CSIC|Programa ADAI|2|Agencia Nacional de Investigación e Innovación|3|Comisión Sectorial de Investigación Científica|1||||
Administración de Ferrocarriles del Estado|Administración de Ferrocarriles del Estado|3||||||||
Administración de los Servicios de Salud del Estado (ASSE)|Administración de los Servicios de Salud del Estado |3||||||||
Administración Nacional de Correos (ANC)|Administración Nacional de Correos |3||||||||
Administración Nacional de Telecomunicaciones (Antel)|Administración Nacional de Telecomunicaciones|4||||||||
Administración Nacional de Usinas y Transmisiones Eléctricas, UTE|Administración Nacional de Usinas y Transmisiones Eléctricas|4||||||||
ADP SA|ADP SA|5||||||||
AECID|Agencia Española de Cooperación Internacional para el Desarrollo|10||||||||
AECID (Agencia Española de Cooperación Internacional y Desarrollo)|Agencia Española de Cooperación Internacional para el Desarrollo|10||||||||
AECID, en convenio SODRE/UdelAR|Agencia Española de Cooperación Internacional para el Desarrollo|10|SODRE|3|Universidad de la República|1||||
aecid, IMM|Agencia Española de Cooperación Internacional para el Desarrollo|10|Intendencia de Montevideo|3||||||
Afratur S.A.|Afratur S.A. |5||||||||
AFRATUR S.A.-YOUNG- Río Negro|Afratur S.A.|5||||||||
Agencia Española de Cooperación Internacional para el Desarrollo (AECID)|Agencia Española de Cooperación Internacional para el Desarrollo|10||||||||
Agencia Española de Cooperación Internacional para el Desarrollo; Intendencia Municipal de Montevideo|Agencia Española de Cooperación Internacional para el Desarrollo|10|Intendencia de Montevideo|3||||||
Agencia Española de Cooperación para el Desarrollo (AECID)|Agencia Española de Cooperación Internacional para el Desarrollo|10||||||||
Agencia Nacional de Investigación e Innovación|Agencia Nacional de Investigación e Innovación|3||||||||
Agencia Nacional de Investigación e Innovación (ANII)|Agencia Nacional de Investigación e Innovación|3||||||||
Agencia Nacional de Investigación e Innovación - Fondo María Viñas|Agencia Nacional de Investigación e Innovación|3||||||||
Agencia Nacional de Investigación e Innovación, ANII|Agencia Nacional de Investigación e Innovación|3||||||||
Agenda Metropolitana|Agenda Metropolitana|3||||||||
